age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;do_not_disturb;y
24;unemployed;married;secondary;no;789;no;no;cellular;17;sep;79;1;250;1;unknown;0;no
73;self-employed;married;secondary;no;2011;yes;no;cellular;10;feb;364;3;143;4;unknown;0;yes
65;entrepreneur;single;primary;no;-775;yes;no;unknown;23;nov;334;10;112;2;unknown;0;yes
49;unemployed;married;unknown;no;2600;no;no;unknown;13;may;71;10;14;4;unknown;0;yes
49;blue-collar;married;primary;no;3246;no;no;unknown;8;jul;52;1;191;4;unknown;0;yes
79;services;married;secondary;no;3028;no;no;cellular;9;jun;317;11;304;5;unknown;0;yes
24;management;single;secondary;no;946;yes;no;cellular;10;may;570;3;57;5;unknown;0;no
68;housemaid;divorced;tertiary;no;4672;no;no;unknown;28;apr;424;6;17;5;unknown;0;no
32;admin.;single;tertiary;no;627;yes;no;cellular;9;nov;460;7;50;3;unknown;0;no
24;admin.;divorced;secondary;no;353;no;no;cellular;6;aug;159;2;343;1;unknown;0;no
55;retired;single;unknown;no;5724;yes;no;unknown;20;dec;303;5;77;0;unknown;0;no
88;housemaid;single;primary;no;-1920;yes;no;cellular;23;apr;193;4;338;1;unknown;0;yes
70;entrepreneur;married;tertiary;no;-3708;yes;no;telephone;12;apr;74;4;71;2;unknown;0;yes
72;unemployed;single;primary;no;-1203;yes;yes;telephone;12;jul;259;4;203;1;unknown;0;no
69;blue-collar;married;secondary;no;2561;yes;no;cellular;17;aug;46;5;175;4;unknown;0;no
74;technician;married;primary;no;5250;no;no;unknown;19;feb;70;7;376;2;unknown;0;yes
54;management;married;unknown;no;-581;no;no;cellular;4;may;130;2;104;5;unknown;0;no
27;admin.;single;tertiary;no;6844;no;no;cellular;26;jun;152;8;142;0;unknown;0;yes
78;housemaid;single;secondary;no;1481;no;no;unknown;11;feb;214;2;175;0;unknown;0;no
50;housemaid;divorced;secondary;no;1053;no;no;unknown;17;jul;193;7;116;2;unknown;0;no
54;services;divorced;secondary;no;-1149;no;no;cellular;2;feb;33;3;61;1;failure;1;no
44;management;divorced;secondary;no;7254;yes;no;telephone;18;nov;534;10;40;5;unknown;1;yes
31;management;married;secondary;no;949;yes;yes;cellular;3;jul;218;4;234;3;unknown;0;yes
84;self-employed;divorced;primary;no;-2595;no;no;unknown;2;mar;332;1;289;4;unknown;1;no
74;blue-collar;single;secondary;no;8773;yes;no;cellular;27;jul;303;2;62;4;unknown;0;no
64;housemaid;divorced;secondary;no;2581;no;no;cellular;4;may;198;5;166;3;unknown;0;yes
46;retired;married;tertiary;no;3796;no;no;cellular;21;jun;43;11;280;3;unknown;0;yes
77;entrepreneur;married;secondary;no;6444;yes;no;unknown;16;apr;110;4;391;1;unknown;0;yes
57;blue-collar;divorced;secondary;no;3243;yes;no;unknown;7;jun;611;6;46;2;unknown;0;no
49;management;married;secondary;no;4324;no;no;cellular;11;feb;113;9;347;1;unknown;0;yes
50;self-employed;married;secondary;no;1562;yes;no;cellular;4;apr;564;3;150;5;failure;0;yes
34;entrepreneur;married;secondary;no;3601;yes;no;cellular;18;may;136;8;202;0;unknown;0;no
24;housemaid;married;tertiary;no;1297;no;no;cellular;24;oct;156;5;20;5;failure;0;no
57;student;married;primary;no;1339;yes;no;cellular;11;nov;235;10;177;0;unknown;0;no
81;services;divorced;secondary;no;1759;yes;no;unknown;27;nov;184;8;110;2;unknown;0;no
22;technician;divorced;tertiary;yes;209;no;yes;cellular;5;may;32;4;89;4;unknown;0;yes
79;unemployed;divorced;secondary;no;2913;yes;no;cellular;27;may;217;5;349;2;unknown;0;yes
77;management;married;secondary;no;2905;no;no;unknown;23;apr;74;10;55;5;unknown;0;no
37;retired;married;tertiary;no;3856;yes;no;cellular;2;jul;292;5;89;5;unknown;0;yes
63;services;married;secondary;no;3318;no;no;cellular;24;dec;264;6;92;5;unknown;0;yes
29;retired;married;primary;no;7400;no;no;unknown;2;mar;365;10;308;4;unknown;0;yes
72;retired;married;tertiary;no;4557;no;no;unknown;28;sep;120;2;217;5;unknown;0;yes
68;management;single;tertiary;no;778;no;no;cellular;20;apr;367;10;179;2;unknown;0;no
43;housemaid;divorced;primary;no;2759;no;no;cellular;6;may;306;10;51;0;failure;0;no
22;unemployed;married;primary;no;5638;yes;no;unknown;26;jul;245;6;154;3;unknown;0;no
87;blue-collar;married;tertiary;no;-1449;no;no;cellular;9;sep;615;3;352;2;unknown;0;no
50;technician;married;secondary;no;7442;yes;yes;cellular;4;nov;314;2;196;0;unknown;0;yes
82;unemployed;married;secondary;no;-923;yes;no;cellular;8;aug;127;9;386;1;unknown;1;no
66;technician;married;secondary;no;4100;yes;no;unknown;25;aug;527;5;12;0;unknown;1;yes
74;management;married;tertiary;no;1419;no;no;cellular;27;nov;322;6;102;0;unknown;1;no
